time,lat,lon
4206.8,46.7146,165.83
4207.5,46.7494,165.8434
4208.1,46.7842,165.8568
4208.7,46.819,165.8703
4209.3,46.8538,165.8837
4209.9,46.8886,165.8972
4210.5,46.9235,165.9107
4211.1,46.9583,165.9242
4211.7,46.9931,165.9378
4212.4,47.0279,165.9513
4213.0,47.0627,165.9649
4213.6,47.0975,165.9785
4214.2,47.1323,165.9921
4214.8,47.1671,166.0058
4215.4,47.2018,166.0195
4216.0,47.2366,166.0332
4216.7,47.2714,166.0469
4217.3,47.3062,166.0606
4217.9,47.341,166.0743
4218.5,47.3758,166.0881
4219.1,47.4105,166.1019
4219.7,47.4453,166.1157
4220.3,47.4801,166.1296
4220.9,47.5149,166.1434
4221.6,47.5496,166.1573
4222.2,47.5844,166.1712
4222.8,47.6191,166.1851
4223.4,47.6539,166.1991
4224.0,47.6887,166.213
4224.6,47.7234,166.227
4225.2,47.7582,166.241
4225.8,47.7929,166.2551
4226.5,47.8277,166.2691
4227.1,47.8624,166.2832
4227.7,47.8972,166.2973
4228.3,47.9319,166.3114
4228.9,47.9666,166.3256
4229.5,48.0014,166.3397
4230.1,48.0361,166.3539
4230.7,48.0708,166.3681
4231.4,48.1055,166.3824
4232.0,48.1403,166.3966
4232.6,48.175,166.4109
4233.2,48.2097,166.4252
4233.8,48.2444,166.4395
4234.4,48.2791,166.4539
4235.0,48.3139,166.4682
4235.7,48.3486,166.4826
4236.3,48.3833,166.497
4236.9,48.418,166.5115
4237.5,48.4527,166.5259
4238.1,48.4874,166.5404
4238.7,48.5221,166.5549
4239.3,48.5568,166.5694
4239.9,48.5915,166.584
4240.6,48.6261,166.5985
4241.2,48.6608,166.6131
4241.8,48.6955,166.6278
4242.4,48.7302,166.6424
4243.0,48.7649,166.6571
4243.6,48.7995,166.6718
4244.2,48.8342,166.6865
4244.8,48.8689,166.7012
4245.5,48.9036,166.716
4246.1,48.9382,166.7308
4246.7,48.9729,166.7456
4247.3,49.0075,166.7604
4247.9,49.0422,166.7753
4248.5,49.0769,166.7901
4249.1,49.1115,166.805
4249.7,49.1461,166.82
4250.4,49.1808,166.8349
4251.0,49.2154,166.8499
4251.6,49.2501,166.8649
4252.2,49.2847,166.8799
4252.8,49.3193,166.895
4253.4,49.354,166.91
4254.0,49.3886,166.9251
4254.6,49.4232,166.9402
4255.3,49.4579,166.9554
4255.9,49.4925,166.9706
4256.5,49.5271,166.9858
4257.1,49.5617,167.001
4257.7,49.5963,167.0162
4258.3,49.6309,167.0315
4258.9,49.6655,167.0468
4259.6,49.7001,167.0621
4260.2,49.7347,167.0775
4260.8,49.7693,167.0928
4261.4,49.8039,167.1082
4262.0,49.8385,167.1237
4262.6,49.8731,167.1391
4263.2,49.9077,167.1546
4263.8,49.9423,167.1701
4264.5,49.9769,167.1856
4265.1,50.0114,167.2012
4265.7,50.046,167.2167
4266.3,50.0806,167.2323
4266.9,50.1152,167.248
4267.5,50.1497,167.2636
4268.1,50.1843,167.2793
4268.7,50.2188,167.295
4269.4,50.2534,167.3107
4270.0,50.288,167.3265
4270.6,50.3225,167.3423
4271.2,50.3571,167.3581
4271.8,50.3916,167.3739
4272.4,50.4261,167.3898
4273.0,50.4607,167.4057
4273.6,50.4952,167.4216
4274.3,50.5298,167.4375
4274.9,50.5643,167.4535
4275.5,50.5988,167.4695
4276.1,50.6333,167.4855
4276.7,50.6679,167.5016
4277.3,50.7024,167.5176
4277.9,50.7369,167.5338
4278.6,50.7714,167.5499
4279.2,50.8059,167.566
4279.8,50.8404,167.5822
4280.4,50.8749,167.5984
4281.0,50.9094,167.6147
4281.6,50.9439,167.631
4282.2,50.9784,167.6472
4282.8,51.0129,167.6636
4283.5,51.0474,167.6799
4284.1,51.0819,167.6963
4284.7,51.1163,167.7127
4285.3,51.1508,167.7291
4285.9,51.1853,167.7456
4286.5,51.2198,167.7621
4287.1,51.2542,167.7786
4287.7,51.2887,167.7952
4288.4,51.3232,167.8117
4289.0,51.3576,167.8283
4289.6,51.3921,167.845
4290.2,51.4265,167.8616
4290.8,51.461,167.8783
4291.4,51.4954,167.8951
4292.0,51.5299,167.9118
4292.6,51.5643,167.9286
4293.3,51.5987,167.9454
4293.9,51.6332,167.9622
4294.5,51.6676,167.9791
4295.1,51.702,167.996
4295.7,51.7365,168.0129
4296.3,51.7709,168.0298
4296.9,51.8053,168.0468
4297.5,51.8397,168.0638
4298.2,51.8741,168.0809
4298.8,51.9085,168.0979
4299.4,51.9429,168.1151
4300.0,51.9773,168.1322
